personId,date,exercise_activeDuration_in_ms,exercise_steps,exercise_calories,exercise_elevationGain,exercise_averageHeartRate,sleep_duration_in_ms,sleep_minutesAsleep,sleep_minutesAwake,sleep_efficiency
p02,2020-03-13,5451000,6488.0,821,90.32,97.5,25320000,357,65,98.0
p02,2020-03-14,5881000,10570.0,1333,370.33,136.0,33780000,504,59,89.0
p02,2020-03-15,7322000,10145.0,1048,91.44,96.33,25560000,357,69,88.0
p02,2020-03-16,6349000,8071.0,818,131.06,94.33,26580000,358,85,91.0
p02,2020-03-18,7219000,10560.0,1063,128.02,100.5,28200000,372,98,99.0
p02,2020-03-19,14966000,13032.0,2481,265.78,118.0,29220000,414,73,98.0
p02,2020-03-20,5939000,9313.0,956,121.92,101.5,20640000,281,62,83.0
p02,2020-03-21,2612000,4664.0,491,94.49,117.5,22500000,328,47,86.0
p02,2020-03-22,7463000,9932.0,1239,267.92,112.0,31920000,428,104,92.0
p02,2020-03-23,7690000,12612.0,1671,777.24,128.0,30720000,428,84,99.0
p02,2020-03-24,3857000,6006.0,567,128.02,100.0,31380000,424,99,98.0
p02,2020-03-25,2918000,7099.0,707,137.16,139.0,29640000,409,85,99.0
p02,2020-03-26,5402000,2215.0,880,21.64,117.0,22260000,331,40,94.0
p02,2020-03-27,4762000,8969.0,935,136.14,120.33,29160000,384,102,98.0
p02,2020-03-28,2918000,4342.0,424,85.34,101.0,26580000,366,77,89.0
p02,2020-03-29,6964000,11485.0,1123,166.22,105.0,15240000,223,31,92.0
p02,2020-03-30,7783000,13399.0,1278,97.54,101.5,23280000,346,42,93.0
p02,2020-03-31,6099000,2408.0,861,3.05,96.33,59520000,788,204,98.0
p03,2019-11-01,2355000,3171.0,311,30.48,107.0,8100000,126,9,93.0
p03,2019-11-06,922000,1429.0,144,0.0,118.0,29460000,443,48,96.0
p03,2019-11-14,1997000,3105.0,264,6.1,99.0,57720000,864,98,96.0
p03,2019-12-21,1075000,1009.0,111,0.0,91.0,31020000,437,80,94.0
p03,2019-12-23,1843000,1732.0,219,9.14,102.0,25680000,380,48,94.0
p03,2019-12-24,906000,1468.0,164,2.44,126.0,24060000,353,48,92.0
p03,2019-12-30,1946000,4024.0,524,36.27,167.0,22920000,327,55,89.0
p03,2020-01-04,2765000,3621.0,367,9.14,101.0,28200000,426,44,96.0
p03,2020-01-06,2100000,3281.0,313,21.34,108.0,29640000,428,66,95.0
