Activity ID,Activity Date,Activity Name,Activity Type,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Filename,Athlete Weight,Elapsed Time.1,Moving Time,Distance.1,Max Speed,Elevation Gain,Elevation Low,Elevation High,Max Grade,Average Grade,Max Cadence,Average Cadence,Average Heart Rate,Calories,Relative Effort.1,Commute.1
2189889908,"1 Jul 2018, 14:41:13","Montréal, Île de Montréal",Run,4926,10.17,173.0,82.0,False,activities/2333658037.fit.gz,84.0,4926.0,3548.0,10171.2998046875,5.300000190734863,25.321861267089844,9.800000190734863,20.899999618530277,13.600000381469728,-0.0019663169514387,82.0,75.51750183105469,150.5779266357422,634.0,82.0,0.0
2189889957,"17 Jun 2018, 15:12:35","Montréal, Île de Montréal",Run,5916,14.00,176.0,137.0,False,activities/2333658067.fit.gz,84.0,5916.0,4767.0,14005.7001953125,4.300000190734863,34.98800277709961,6.900000095367432,22.600000381469727,8.800000190734863,-0.0592615865170955,83.0,78.92986297607422,155.5945587158203,863.0,137.0,0.0
2189889973,"16 Jun 2018, 20:28:35","Montréal, Île de Montréal",Run,8394,10.25,180.0,131.0,False,activities/2333658087.fit.gz,84.0,8394.0,3410.0,10256.5,4.0,32.79129409790039,8.800000190734863,20.799999237060547,17.399999618530273,-0.0048749572597444,83.0,79.34835815429688,164.15281677246094,640.0,131.0,0.0
2189889999,"14 Jun 2018, 11:11:17","Montréal, Île de Montréal",Run,2739,7.90,176.0,70.0,False,activities/2333658136.fit.gz,84.0,2739.0,2670.0,7908.39990234375,4.300000190734863,27.391298294067383,9.300000190734863,20.799999237060547,8.5,-0.0037934349384158,83.0,79.59738159179688,154.08201599121094,489.0,70.0,0.0
2189890005,"12 Jun 2018, 11:10:33","Montréal, Île de Montréal",Run,3424,10.23,192.0,104.0,False,activities/2333658143.fit.gz,84.0,3424.0,3421.0,10233.5,4.300000190734863,41.21037292480469,7.099999904632568,20.799999237060547,12.600000381469728,-0.0048859138041734,82.0,79.74269104003906,156.8883056640625,618.0,104.0,0.0
2189890055,"10 Jun 2018, 12:47:02","Montréal, Île de Montréal / Montréal, Parc Angrignon",Run,8524,23.38,160.0,154.0,False,activities/2333658176.fit.gz,84.0,8524.0,7901.0,23388.30078125,4.0,50.56339645385742,9.800000190734863,28.600000381469727,9.600000381469728,-0.0363429561257362,82.0,77.00418853759766,146.5637969970703,1439.0,154.0,0.0
2189890070,"7 Jun 2018, 23:16:05","Montréal, Île de Montréal / Montréal, Sailors' Memorial Clock Tower",Run,10804,10.27,166.0,59.0,False,activities/2333658223.fit.gz,84.0,10804.0,3524.0,10272.400390625,4.599999904632568,42.99863052368164,6.900000095367432,19.899999618530277,18.299999237060547,0.0029204469174146,81.0,75.90327453613281,145.56871032714844,626.0,59.0,0.0
2189890072,"9 Jun 2018, 14:40:53","Montréal, Île de Montréal / Montréal, Sailors' Memorial Clock Tower",Run,3866,11.02,203.0,150.0,False,activities/2333658219.fit.gz,84.0,3866.0,3652.0,11025.7998046875,4.199999809265137,46.34122467041016,6.800000190734863,19.899999618530277,19.5,0.0027208910323679,82.0,77.9893569946289,165.1986846923828,681.0,150.0,0.0
2189890133,"3 Jun 2018, 11:10:44","Montréal, Île de Montréal",Run,3429,10.08,176.0,73.0,False,activities/2333658272.fit.gz,84.0,3429.0,3385.0,10088.2001953125,4.400000095367432,28.621976852416992,9.300000190734863,20.799999237060547,10.5,-0.0247814282774925,83.0,80.82135772705078,149.2549591064453,610.0,73.0,0.0
2189890200,"2 Jun 2018, 19:50:00","Montréal, Île de Montréal",Run,4078,12.26,180.0,141.0,False,activities/2333658329.fit.gz,84.0,4078.0,4003.0,12264.400390625,4.199999809265137,37.123905181884766,8.800000190734863,21.899999618530277,15.100000381469728,-0.0073383124545216,83.0,81.35514831542969,161.28945922851562,746.0,141.0,0.0
